gene,UMAP1,UMAP2,cluster
CYP4F12,1.7910566,13.977141,371
CYP4F2,8.3659525,11.588072,113
CYP4F22,2.2968652,9.611046,878
CYP4F3,1.7918086,13.977123,371
CYP4V2,2.738391,-8.403662,1512
CYP4X1,-2.6348994,9.960509,1511
CYP51A1,5.554706,11.06831,249
CYP7B1,2.234338,-0.20217575,343
CYRIA,2.2539895,6.211828,491
CYRIB,9.661458,10.594749,816
CYS1,-2.85293,-1.7533185,1513
CYSLTR1,2.2045639,4.924708,1176
CYSTM1,8.073715,6.2855487,1312
CYTH1,7.3152547,9.31379,1514
CYTH2,1.1185597,5.656887,1515
CYTH3,-4.0493937,-7.131413,605
CYTH4,3.853568,4.002412,597
CYTIP,12.657003,4.8450055,1516
CYTL1,9.64215,-2.9194279,469
CZIB,12.338523,4.32135,1517
D2HGDH,9.441416,1.7573738,213
DAAM1,3.5730648,10.968068,1518
DAAM2,1.9620862,-3.7430909,1519
DAB1,4.3337793,-3.9397151,1032
DAB2,-5.078598,-5.3462367,960
DAB2IP,-0.15150182,11.016174,611
DACH1,5.8100147,10.299275,773
DACT1,4.739795,1.001347,433
DACT2,3.2356052,11.359419,1520
DACT3,9.519678,-4.98369,756
DAG1,-1.117142,-6.8244925,1521
DAGLA,-3.9762318,-1.5431584,1203
DAGLB,-1.5999447,2.116563,435
DAND5,14.122318,-2.7068558,698
DAO,3.1208897,8.164555,144
DAOA,-1.0636986,3.8558838,1522
DAP,-7.0163965,0.6148911,160
DAP3,12.923588,9.075531,1358
DAPK1,-6.382623,-0.10933411,879
DAPK2,-0.64716923,2.392905,1523
DAPK3,4.0672216,-0.6425685,1524
DAPL1,2.960278,5.691299,532
DAPP1,6.4978285,12.863041,1249
DARS2,5.5424304,7.480214,98
DAW1,-6.9964623,-2.2630255,434
DAXX,6.733453,8.562335,54
DAZAP1,12.470602,13.045404,475
DAZAP2,8.291018,-3.2081702,647
DAZL,2.6636543,8.0859785,1398
DBF4,11.26062,0.7435355,1087
DBF4B,11.612277,9.907015,579
DBH,3.4575622,-4.652138,1525
DBI,6.224492,-6.6176486,1269
DBN1,10.640202,-3.0827587,190
DBNDD1,-1.916906,-0.5597677,891
DBNDD2,-2.603979,9.996009,1511
DBNL,6.2678523,-3.5924506,524
DBP,6.473471,-2.021893,1526
DBT,8.295899,2.082742,1527
DBX2,3.1199677,8.164081,144
DCAF10,-3.4296288,7.4327865,1528
DCAF11,10.462031,10.64247,122
DCAF12,15.4418335,0.7208479,1529
DCAF15,11.127393,3.7339,718
DCAF16,14.938102,5.825482,736
DCAF4,4.459553,1.4270911,1530
DCAF4L2,8.379575,-3.8513277,1531
DCAF5,5.447048,-4.087126,1532
DCAF6,3.1734622,-8.603862,1491
DCAF8,6.254989,15.303105,208
DCAKD,9.330314,-0.40181535,1074
DCBLD1,-4.216754,-5.749634,1533
DCBLD2,-5.1228614,-2.9915009,1185
DCC,5.601149,-1.3457739,1362
DCDC2,4.1913285,5.3995013,1534
DCDC2B,1.2377807,7.983004,900
DCHS1,9.552421,-5.026306,756
DCK,13.964177,4.321049,96
DCLK1,0.45706308,-7.0900307,644
DCLK2,0.25311744,2.4369578,1535
DCLRE1A,7.2857795,5.043604,1230
DCLRE1B,13.860307,-3.315801,1536
DCN,-2.6932683,1.7365829,1537
DCP1B,9.730143,2.9052215,1444
DCP2,1.2077957,10.338249,1538
DCPS,8.352361,7.235985,985
DCST1,-2.1325848,4.943225,1539
DCST2,3.1789958,12.886249,131
DCT,8.507848,-1.1574069,1540
DCTD,5.4925203,-2.8512673,1036
DCTN1,4.9220843,6.124655,1541
DCTN2,2.5250018,7.2489552,1271
DCTN3,1.0711848,0.013699043,1542
DCTN4,2.7464142,-1.8256943,353
DCTN5,10.655674,-0.3304248,983
DCTN6,6.310037,1.708611,1543
DCTPP1,11.321674,3.5649352,1544
DCUN1D1,3.7394173,7.992621,1545
DCUN1D2,14.239117,8.222763,454
DCUN1D3,-3.0844226,-7.616307,1200
DCUN1D4,9.870435,-5.8345366,313
DCUN1D5,12.081723,0.2958376,1311
DCX,7.560049,-0.055729937,730
DCXR,12.47842,11.134567,450
DDA1,0.7511718,3.7683122,95
DDAH1,-3.975314,-1.5452362,1203
DDAH2,2.3158004,-2.7017531,1280
DDB2,-0.24597596,10.258603,545
DDC,4.0664954,15.10024,1061
DDHD1,9.795048,-7.994838,809
DDHD2,10.934916,1.6344334,842
DDI2,8.880697,9.419268,766
DDIAS,7.475251,-1.9184779,1208
DDIT3,8.223478,-2.2914548,1154
DDIT4,3.7509422,7.9996963,1545
DDIT4L,0.29390785,-4.69264,1546
DDN,11.28633,6.2518644,484
DDO,6.1882195,-7.236506,585
DDOST,-3.6823683,5.9685416,1547
DDR1,-3.6701431,10.854605,609
DDR2,3.6309056,6.1105824,1548
DDRGK1,7.5874624,-1.9703474,64
DDX1,11.146556,0.87834924,1248
DDX10,12.880669,-4.68091,94
DDX11,13.043095,7.9160366,1464
DDX17,11.496411,7.187482,19
DDX19A,3.271292,1.9576607,93
DDX19B,7.682775,6.517829,1158
DDX20,7.256622,-2.8897917,1206
DDX21,12.957737,9.027199,1358
DDX23,10.599703,2.3829412,529
DDX24,5.5765553,-2.7459676,1036
DDX25,6.1007924,3.1697412,405
DDX27,7.5869308,-1.9711164,64
DDX28,11.316545,10.679619,966
DDX31,1.0657881,4.8771763,1549
DDX39A,11.654384,9.123245,636
DDX39B,7.8770432,4.2176113,1030
DDX3X,11.1755085,7.1298976,364
DDX4,8.782452,10.415782,1109
DDX43,8.225988,4.6046615,1145
DDX46,7.581856,11.263583,407
DDX47,11.413725,3.2119052,415
DDX5,9.742186,2.9381502,1444
DDX50,8.148594,4.6668367,1550
DDX51,9.19015,3.8472502,1263
DDX52,9.197548,10.294956,1551
DDX55,9.190863,3.8472567,1263
DDX59,4.323996,2.855442,272
DDX6,15.40018,3.4455507,20
DDX60,-8.350821,2.2440143,1552
DDX60L,-8.351431,2.2445989,1552
DEAF1,10.462267,-2.6220996,1408
DECR1,5.00616,3.7532513,705
DECR2,-1.9533163,5.248837,1553
DEF6,10.994252,12.430516,546
DEF8,4.9588747,-2.5734494,127
DEFA5,7.199939,7.1557074,925
DEFB1,1.6934744,11.777602,79
DEFB115,1.7667401,6.708717,673
DEFB118,1.9139372,6.5586386,125
DEFB125,2.2448559,6.224609,491
DEFB128,1.9217308,6.555412,125
DEFB129,1.9199388,6.5577946,125
DEGS1,1.2382869,-1.5531245,1554
DEGS2,0.82987684,12.718093,980
DEK,4.4512196,1.4272277,1530
DENND10,12.619069,-3.4234576,1555
DENND11,2.1912384,7.639164,833
DENND1A,7.5745068,11.283451,407
DENND1B,11.770854,6.717892,63
DENND1C,6.4926124,12.85295,1249
DENND2A,0.715179,-5.982511,12
DENND2B,-0.9440863,-2.9639876,1556
DENND2C,-1.8311799,7.5652857,1557
DENND2D,2.4247632,15.104207,565
DENND3,2.1268306,1.6420172,1558
DENND4A,15.876748,8.563412,841
DENND4B,13.77022,6.0535307,1136
DENND4C,1.90781,-5.5362735,1559
DENND5A,1.4082204,3.3467429,419
DENND5B,1.4118046,3.3500092,419
DENND6B,9.501383,14.6811495,819
DENR,12.174637,4.331311,1413
DEPDC1,12.154282,0.45632112,1560
DEPDC1B,15.648559,3.9793365,908
DEPDC5,10.88093,8.1155815,1561
DEPDC7,-1.2297182,-9.1502495,34
DEPP1,-4.328085,-2.5748973,149
DEPTOR,6.5379534,9.0274935,923
DERA,5.526958,-4.533182,1562
DERL1,8.283501,11.341653,1563
DERL2,-1.1166083,2.5968149,1564
DERL3,6.6883082,7.830163,967
DES,5.0408897,5.0503473,174
DESI1,11.110046,7.442091,1565
DESI2,5.573123,-2.1089103,1566
DET1,12.172893,8.330424,751
DFFA,6.708184,5.7578,1567
DFFB,12.956092,1.7539177,1375
DGAT1,6.312771,10.595268,1568
DGAT2,5.985369,1.9013001,662
DGCR2,-3.6018088,5.324166,470
DGCR6,-0.6896975,3.3603811,468
DGCR6L,4.3830113,-6.3668175,50
DGCR8,11.233663,11.354469,103
DGKA,-3.3338134,9.288291,1569
DGKB,5.098169,9.579741,222
DGKD,13.221202,4.416004,1570
DGKE,13.23632,7.1467314,465
DGKG,6.1795225,-7.2328568,585
DGKH,-1.2927823,8.615596,59
DGKI,1.8421776,-8.176935,337
DGKQ,-1.9546025,5.2479405,1553
DGKZ,6.0808372,6.536587,1571
DGLUCY,8.688356,8.091047,958
DHCR24,-5.317051,7.595987,5
DHCR7,3.8293765,5.8124275,1572
DHFR2,5.726442,2.500247,1573
DHH,-0.35968268,5.192906,1315
DHODH,12.879776,9.059593,1358
DHPS,10.099436,6.5752087,1282
DHRS1,1.0621392,11.893457,1574
DHRS11,14.55517,4.515908,156
DHRS12,10.918318,6.8943076,1575
DHRS13,13.749156,6.032957,1136
DHRS2,-5.663705,6.635837,369
DHRS3,-3.3505275,2.8379989,367
DHRS7,1.0623081,11.893555,1574
DHRS7B,5.9300385,7.6070166,25
DHRS9,-0.7597937,11.664679,1576
DHTKD1,12.865203,6.9253793,1329
DHX29,3.2437644,-9.333275,152
DHX30,13.129395,-5.9093223,1577
DHX32,-0.799305,3.4292939,1204
DHX33,11.474102,1.7283723,1578
DHX34,8.385088,9.880062,1579
DHX35,7.762579,12.474163,1480
DHX36,4.2623672,1.5507585,1580
DHX37,7.5894504,4.3873525,817
DHX38,14.936573,6.7632346,110
DHX40,12.402331,-4.6411033,1581
DHX58,0.08407019,4.3206716,646
DHX9,11.5388,-0.67771214,486
DIABLO,12.173727,4.3312645,1413
DIAPH1,2.1211803,13.64324,1582
DIAPH2,9.914314,-0.59751153,361
DIAPH3,3.1769452,-8.6028805,1491
DICER1,10.060632,12.540081,430
DIDO1,14.295108,-1.0995607,47
DIMT1,14.165012,4.899985,1583
DIO2,-1.1624852,-8.100895,994
DIO3,-2.4840093,8.663664,370
DIP2A,14.98601,4.621132,588
DIP2B,1.9154818,8.741772,31
DIP2C,3.6723847,-3.8322449,823
DIPK1A,0.10381612,-3.9924068,184
DIPK1B,9.252186,-3.577302,1584
DIPK1C,2.2936845,7.1268425,1585
DIPK2A,6.426688,5.4288034,670
DIPK2B,1.8597872,6.6233516,125
DIRAS1,8.073378,-1.8800881,1401
DIRAS2,-3.328454,4.7905116,687
DIRAS3,-2.6976273,-3.2864118,1586
DIS3,9.7115755,6.9655523,1587
DIS3L,13.173737,5.752698,727
DISC1,9.638414,-2.921015,469
DISP1,11.621067,-2.8434064,1031
DISP2,3.0120013,1.246245,708
DISP3,14.071204,-0.3564826,722
DIXDC1,4.2854495,-4.303504,1588
DKC1,7.403861,10.670493,1589
DKK1,-7.6062465,4.3641696,260
DKK2,4.365979,-3.25692,997
DKK3,-2.2971275,-5.811783,76
DKK4,0.14506635,9.82039,501
DLAT,15.474847,-2.6546474,1590
DLC1,-2.4978495,-7.984058,1591
DLD,7.1353974,0.85582113,889
DLG1,-4.636003,2.9877884,584
DLG2,14.276321,8.212662,454
DLG3,0.87368125,12.670324,980
DLG4,7.6976137,-5.7877207,459
DLG5,-4.825528,5.9580035,1201
DLGAP1,10.370603,0.8478326,1592
DLGAP3,14.082112,-0.35349736,722
DLGAP4,-3.2022672,-1.1512128,1593
DLGAP5,4.4576087,1.4271305,1530
DLK1,-3.314094,4.7917314,687
DLK2,-1.8320265,7.5652313,1557
DLL1,-5.1176615,9.536488,750
DLL3,0.10464652,-0.61888754,180
DLL4,1.034744,12.159729,23
DLST,6.2991366,4.820436,1038
DLX1,3.2187643,-1.6446322,1594
DLX2,3.2189643,-1.6446215,1594
DLX3,-5.1207175,9.533522,750
DLX4,2.7780573,0.88125724,607
DLX5,-0.34119993,11.601721,1595
DLX6,-0.34518677,11.605864,1595
DMAC1,1.9262263,6.560779,125
DMAC2,10.93568,1.6362854,842
DMBT1,-3.5170946,-0.36854854,936
DMBX1,-2.6082985,9.991634,1511
DMC1,7.315392,9.314062,1514
DMD,-0.9041962,3.7502134,594
DMGDH,-0.90187836,8.941173,608
DMKN,-1.981703,9.435644,1216
DMPK,-0.36619025,6.9994726,589
DMRT2,-0.090432495,8.661844,1596
DMRTA1,-1.0687122,-1.0984967,1597
DMRTA2,0.99886733,3.1750336,1172
DMRTB1,1.9024936,6.587678,125
DMRTC2,8.777599,1.4162384,1457
DMTF1,13.073606,8.462464,1237
DMTN,2.4305274,10.776583,674
DMWD,1.1239111,5.656112,1515
DMXL1,14.433188,-3.8279517,1490
DMXL2,6.6637707,10.634908,779
DNAAF1,15.017065,6.7006855,110
DNAAF10,7.791432,1.3619931,217
DNAAF11,2.4147186,3.5469747,654
DNAAF2,10.898304,-4.4823623,1598
DNAAF3,2.2976656,10.382545,1599
DNAAF4,0.017176608,-3.7783413,1281
DNAAF5,8.598698,2.3678277,1170
DNAAF9,2.4877224,-3.9407313,1318
DNAH1,10.362815,8.128453,139
DNAH10,8.081995,5.961687,926
DNAH11,-1.6256375,5.8728094,1505
DNAH14,1.9821805,2.313318,1600
DNAH2,3.0180311,9.505758,134
DNAH5,-6.8110614,-0.6103365,414
DNAH9,-2.231924,8.846283,289
DNAI3,-0.18393634,0.5237421,1601
DNAI4,2.4247894,3.5559988,654
DNAI7,9.849114,0.2272269,1123
DNAJA1,3.4340963,-8.013051,1602
DNAJA2,3.7438624,7.991719,1545
DNAJA3,6.0370426,14.271207,1294
DNAJA4,0.17145163,13.13382,206
DNAJB1,-4.319474,-4.433856,955
DNAJB11,-1.1034684,5.7980866,336
DNAJB12,-3.953832,1.0821736,411
DNAJB13,2.836285,4.365631,564
DNAJB2,-5.7046742,-1.2809284,1603
DNAJB4,-0.83384526,-5.597943,489
DNAJB5,7.659613,-5.299621,660
DNAJB6,-2.4545064,0.9995656,528
DNAJB9,8.182128,-2.3221362,1154
DNAJC1,4.628781,-4.5378423,633
DNAJC10,6.0103436,8.661454,1604
DNAJC11,9.654709,5.434751,284
DNAJC12,7.777384,-5.0195227,1605
DNAJC13,5.2950563,-6.194429,49
DNAJC15,14.921526,-3.8497114,871
DNAJC16,8.59031,-2.9946835,1606
DNAJC18,7.7045703,-5.7799273,459
DNAJC19,7.202172,7.1490865,925
DNAJC2,5.191606,2.0805097,1607
DNAJC21,8.129176,-0.044508237,1608
DNAJC22,0.65125686,6.6964936,130
DNAJC24,14.248034,2.2843065,933
DNAJC25,-2.3573499,2.3303032,1609
DNAJC3,-2.6097977,5.0597587,1610
DNAJC30,10.555672,-4.709432,909
DNAJC4,3.4604695,3.1366224,1111
DNAJC6,-0.95621055,11.773864,1306
DNAJC7,7.2191663,-4.7211347,1124
DNAJC9,15.65106,3.9692621,908
DNAL1,1.7141464,0.2059522,161
DNAL4,9.8502035,0.22457337,1123
DNALI1,10.699339,-6.9599805,1611
DNASE1,14.239847,8.206414,454
DNASE1L1,-2.048999,-2.5794873,71
DNASE1L3,3.0256798,10.095987,1612
DNASE2,-1.3199562,1.5314062,1613
DND1,8.163021,3.6615183,1355
DNER,0.68027145,-5.949202,12
DNHD1,11.954804,7.6638455,1614
DNLZ,1.3402501,-0.42594567,4
DNM1,11.849414,0.05276825,1051
DNM1L,11.635346,9.942501,579
DNM2,5.986315,12.405835,1615
DNM3,5.1942897,-5.1044316,21
DNMBP,1.6321162,-3.0366287,512
DNMT1,14.986563,4.1746244,18
DNMT3A,6.11491,3.1544929,405
DNMT3B,4.5661926,10.25345,1214
DNPEP,-2.5133297,4.03917,99
DNPH1,7.7429,14.048959,1361
DNTT,2.4082744,8.347429,1616
DNTTIP1,2.9668713,0.22614005,578
DNTTIP2,0.96298593,-0.86460376,828
DOC2A,-1.1888623,8.29795,207
DOCK10,8.963402,4.506471,1617
DOCK11,0.51293874,-3.313708,1122
DOCK2,-3.3074193,1.6720347,527
DOCK3,7.0491824,2.110079,1618
DOCK4,-0.6014228,-6.03324,1619
DOCK5,-5.4580517,5.331615,935
DOCK6,5.329283,10.16221,1620
DOCK7,1.7147241,0.6975433,1621
DOCK8,11.044649,12.386668,546
DOCK9,-4.5024858,3.9398575,989
DOHH,12.931059,1.1728064,65
DOK1,8.037448,-1.3103114,279
DOK2,6.8187203,7.715306,581
DOK3,6.7075787,7.8556676,967
DOK4,7.0163836,11.690384,1622
DOK5,11.627843,-2.8452396,1031
DOK6,10.379706,1.1375154,229
DOK7,0.55875427,14.663659,26
DOLK,-2.3578322,2.3476834,1609
DOLPP1,5.913404,0.2030983,1194
DONSON,13.287878,-1.4639543,681
DOP1A,14.23703,8.196988,454
DOP1B,7.450658,8.320744,247
DOT1L,13.19734,4.4467874,1570
DPAGT1,5.1026683,11.61673,767
DPCD,-0.029587593,-3.7298234,1281
DPEP1,3.2270067,9.140225,1456
DPEP3,4.2553253,8.416304,576
DPF1,7.5149994,3.2415013,865
DPF2,0.4916187,-0.59066975,1623
DPF3,2.006392,10.5183525,1624
DPH1,6.774584,6.012359,521
DPH2,3.6216094,5.124819,335
DPH3,5.805337,-3.9855788,567
DPH5,14.190422,7.665107,1625
DPH6,8.830764,12.8074045,709
DPH7,14.211805,8.181349,454
DPM1,2.9667904,0.22523488,578
DPM2,7.750877,-3.9532216,1626
DPM3,-0.76049197,7.7271657,1420
DPP10,6.919592,13.181894,53
DPP3,-1.3998003,9.136836,1627
DPP4,0.6425515,6.572508,1628
DPP7,4.831654,-0.5833098,1167
DPP9,2.7617953,-5.723559,1343
DPPA2,4.172388,6.214291,672
DPPA4,-4.5436525,6.662497,297
DPPA5,-1.0660104,3.8589098,1522
DPRX,1.7769608,6.5657496,1629
DPT,4.9854465,-8.223009,1389
DPY19L1,2.444932,-4.4624834,1630
DPY19L3,12.924073,-2.3887854,615
DPY19L4,5.318263,-1.4997308,1631
DPY30,1.7764186,9.600013,1475
DPYD,-4.516046,-0.13483422,191
DPYSL2,8.829927,-6.035589,1233
DPYSL3,-3.0902536,-5.3036113,200
DPYSL4,-0.17950638,-7.616018,1632
DPYSL5,5.764679,4.3784647,192
DQX1,6.4841948,12.850228,1249
DR1,9.063822,1.1069885,1633
DRAM1,-6.831325,-4.694917,476
DRAM2,3.984565,-3.1773205,555
DRAP1,-6.5199428,-1.1520146,934
DRAXIN,6.147925,-2.1836777,1326
DRC12,4.825856,12.8761,637
DRD2,1.409227,5.2075725,266
DRG1,8.210865,6.954505,506
DRG2,16.64826,2.7869365,263
DRICH1,10.83238,1.6419055,1182
DROSHA,3.8119729,11.669101,899
DSC2,-1.4210191,10.481806,1634
DSC3,-1.7943337,10.93565,1635
DSCAML1,-0.09791937,6.151698,1636
DSCC1,9.945357,3.127657,1301
DSE,-2.071654,-4.5553436,1098
DSEL,0.69258296,-5.92569,12
DSG2,-3.0480893,11.141165,1371
DSG3,-2.5271199,10.912534,1637
DSN1,6.3720946,-1.5228672,1638
DSP,-3.9802926,12.2292185,508
DST,4.2855906,0.26439515,1639
DSTN,-5.047548,-6.1503158,627
DSTYK,9.593058,-1.045265,1640
DTD1,0.32092273,-0.17700143,1641
DTD2,10.487907,5.9883485,1642
DTL,13.149776,5.7649107,727
DTNA,5.002704,-1.7210724,147
DTNB,6.1022997,3.1785102,405
DTNBP1,15.143241,7.3796434,1260
DTWD1,8.51699,0.8034301,530
DTWD2,-0.39486167,-2.394618,1432
DTX1,10.328783,4.2451763,682
DTX2,-0.7529718,11.66813,1576
DTX3,3.6246643,-0.8583615,639
DTX3L,-3.7770524,7.0692396,138
DTX4,-1.4010985,14.134388,373
DTYMK,6.88808,-4.630833,1643
DUOX1,-0.5113785,11.290851,663
DUOX2,-0.5126984,11.295586,663
DUOXA1,-0.5177888,11.299768,663
DUOXA2,-0.51262724,11.297734,663
DUS1L,9.441633,1.7574887,213
DUS3L,8.184936,5.2810764,844
DUSP1,-6.9965024,-2.2635446,434
DUSP10,-5.1118107,-1.5148336,747
DUSP12,-0.9560845,11.773757,1306
DUSP13B,4.1654572,6.2120547,672
DUSP14,-2.247025,-4.0883203,70
DUSP15,1.935181,-4.6470275,1644
DUSP16,-2.1942458,11.280233,1645
DUSP19,8.757795,5.0764427,1646
DUSP2,10.542285,3.788706,238
DUSP22,13.594517,-1.6747481,436
DUSP23,-6.419535,6.1499605,1647
DUSP26,6.227919,5.9466963,1648
DUSP28,1.5978363,5.700225,1449
DUSP3,-5.117421,-0.4067229,1649
DUSP4,-0.9216288,3.9181724,1650
DUSP5,-6.107082,8.764934,1141
DUSP6,4.3848443,1.0711797,175
DUSP7,2.7238605,1.493569,877
DUSP8,1.2585703,2.3138082,1020
DUSP9,-5.669089,7.266742,1651
DUT,7.2307596,-2.8996599,1206
DUXA,-4.5295954,6.633835,297
DVL1,-3.1358147,5.6766067,287
DVL2,7.447342,-0.7755541,391
DVL3,0.7190337,1.7599838,905
DXO,14.8717375,-2.173891,178
DYDC1,3.120449,8.163314,144
DYM,16.924562,4.7143464,732
DYNC1H1,1.7341044,0.21612726,161
DYNC1I1,-5.116634,0.62618995,477
DYNC1LI1,4.236146,3.1183808,1652
DYNC1LI2,-1.6198224,6.2849874,1653
DYNC2H1,-3.7731905,0.5049895,852
DYNC2I1,10.750929,-2.2185597,41
DYNC2I2,5.935636,-3.2477863,1253
DYNC2LI1,-0.8791295,-4.4932036,385
DYNLL1,3.6091454,-7.5497766,356
DYNLL2,5.0123,15.460176,111
DYNLT1,-3.978496,-1.5513396,1203
DYNLT2B,1.5915327,8.878302,821
DYNLT3,-3.1071582,1.5020134,1169
DYNLT4,-5.2754307,8.783922,8
DYNLT5,6.0119586,-0.6914855,875
DYRK1A,9.923081,7.2961535,352
DYRK1B,8.413737,0.37762302,1654
DYRK2,9.585178,4.4363008,1655
DYRK3,-3.194238,1.9993953,1264
DYRK4,11.418371,3.2299066,415
DYSF,-6.430504,-1.9129765,1656
DZANK1,5.4453564,-1.0218025,1445
DZIP1,-3.7752726,0.5036974,852
DZIP1L,0.32715693,-1.1022497,1657
DZIP3,10.374873,-5.426859,1276
E2F1,14.978254,4.641163,588
E2F2,16.002213,4.7167063,85
E2F3,10.461483,-2.6174917,1408
E2F4,6.8216443,-0.1661964,1658
E2F5,8.959909,6.457743,1659
E2F7,4.805236,-5.6004453,666
E2F8,15.671183,8.331188,1660
E4F1,0.53339994,4.985469,166
EAF1,4.483578,11.924119,1368
EAF2,9.317682,12.688912,1186
EAPP,5.0022197,3.1411662,753
EARS2,14.555661,4.5166078,156
EBF1,3.286635,-3.0539405,1661
EBF2,-1.7776793,4.520109,1114
EBF3,6.1604905,-1.1135426,471
EBF4,2.5051422,2.7080038,1047
EBI3,0.08443724,4.322191,646
EBNA1BP2,1.0636017,-0.5064066,183
EBP,8.510922,13.842752,55
EBPL,14.386073,2.917469,167
ECE1,-3.5486338,-5.6813602,1662
ECEL1,5.7651486,4.3770885,192
ECH1,11.910811,9.742063,683
ECHDC1,5.752307,0.055607844,679
ECHDC2,-6.4192615,6.1502213,1647
ECHDC3,0.71173453,7.403353,115
ECHS1,8.650755,12.543674,1663
ECI1,2.7537558,11.404959,1664
ECI2,7.6488566,-5.303244,660
ECM1,-5.077227,-5.34749,960
ECM2,-0.48170534,-7.3640046,1118
ECSIT,8.1813965,5.283086,844
ECT2,1.3910103,8.503219,1215
ECT2L,3.7442918,7.5832705,24
EDA,9.921423,0.8526803,880
EDA2R,9.998799,-3.8446586,815
EDAR,-0.7006694,14.341396,652
EDARADD,-1.2401587,1.0103707,1665
EDC3,9.5751295,4.260319,1666
EDC4,12.2053995,9.096146,1424
EDDM3B,5.6040874,11.016126,140
EDEM1,9.196979,1.0957102,1667
EDEM2,-5.7361193,2.740622,1668
EDEM3,9.743646,2.9371963,1444
EDF1,-4.902958,4.119927,1669
EDIL3,-2.2900789,-5.81098,76
EDN1,-5.051407,5.6362157,45
EDN2,-4.7505736,7.199921,1245
EDN3,13.316258,3.6263454,210
EDNRA,0.8134923,-1.0339593,1015
EDNRB,3.906508,2.020682,1670
EDRF1,15.3322,9.033568,1096
EEA1,2.913943,-4.6728926,826
EED,13.235086,7.150571,465
EEF1A2,0.6988663,7.4041486,115
EEF1AKMT1,5.0984416,-0.568497,384
EEF1AKMT2,6.8001146,-0.16705488,1658
EEF1AKMT3,-2.8887951,-5.1613116,1039
EEF1AKMT4,0.82745147,12.719763,980
EEF1B2,16.83206,6.0440364,920
EEF1D,11.511269,11.6851,1671
EEF1E1,15.17328,2.9693208,759
EEF1G,7.868106,7.4178348,1672
EEF2,13.098108,9.0155945,1673
EEF2KMT,-1.9179579,-1.2025068,1674
EEFSEC,9.446715,2.5809405,1675
EEIG1,-1.1715239,13.273852,146
EEIG2,9.325898,4.7103224,1676
EEPD1,5.0762544,8.204877,1239
EFCAB11,3.8295164,5.8130107,1572
EFCAB13,4.259568,2.6050012,1677
EFCAB2,9.272029,-0.078415945,1678
EFCAB3,3.723622,6.722458,737
EFCAB5,11.703765,-5.21835,291
EFCAB7,14.432466,-3.8278122,1490
EFCC1,4.2815557,13.498995,262
EFEMP1,-6.8128386,-3.3259218,273
EFEMP2,-1.3782711,-4.370257,1679
EFHC1,1.9853319,-6.126041,258
EFHD1,-0.6823516,3.3675153,468
EFHD2,-4.202115,5.31627,1058
EFL1,11.131321,-1.402333,537
EFNA1,-1.9831501,9.431903,1216
EFNA2,8.40561,-2.8084214,216
EFNA3,4.640069,6.4626865,1680
EFNA4,3.2290356,11.354849,1520
EFNA5,-5.7177734,-4.088979,1681
EFNB1,-6.181356,5.4253445,1682
EFNB2,-5.3560405,8.860154,56
EFNB3,2.317467,-1.2642342,1683
EFR3A,-8.007855,2.8237193,710
EFR3B,-0.18362348,-7.6126785,1632
EFS,-3.5834675,4.2716646,1218
EFTUD2,3.6371634,4.7316546,1684
EGF,1.3183115,2.8687975,1090
EGFL7,0.7967897,-0.0043930844,460
EGFL8,6.769896,6.014531,521
EGFLAM,6.861277,-1.1748699,1466
EGFR,-6.55865,2.1462827,333
EGLN1,1.17006,1.7897953,713
EGLN2,13.392228,-2.9991941,1685
EGLN3,0.14675876,7.8278694,1075
EGR1,-3.7861547,5.1624913,1686
EGR2,-2.5221524,4.752144,1687
EGR3,-3.0061405,3.4143422,1465
EGR4,1.3182005,10.429659,1151
EHBP1,-3.081941,-7.611574,1200
EHBP1L1,-0.6493444,7.6113358,1688
EHD1,2.891017,6.641904,575
EHD2,-3.5296085,-6.8464756,1190
EHD3,2.4685786,-1.098288,526
EHD4,-3.51697,-0.37220818,936
EHF,-3.5913336,12.817238,569
EHHADH,1.312387,4.926665,1689
EHMT1,14.221481,8.1877365,454
EHMT2,12.856928,7.3843417,1690
EID1,5.800898,-3.9840314,567
EID2,5.829044,-5.0398855,1691
EID2B,10.038859,-1.5199175,949
EID3,2.745203,-7.8154726,151
EIF1,8.220444,-2.294202,1154
EIF1AX,11.181917,7.12971,364
EIF1B,11.749339,-4.2605996,953
EIF2AK2,-0.37685952,-0.41061243,1468
EIF2AK3,0.42146897,8.071389,706
EIF2AK4,-5.6292048,-2.803257,1692
EIF2B1,8.679491,-3.5863094,894
EIF2B3,9.580276,5.412794,298
EIF2B5,15.683434,8.339275,1660
EIF2S1,6.2990594,4.7937493,1038
EIF2S3,11.96378,1.1380599,104
EIF3B,9.435138,9.789069,1693
EIF3E,5.738432,9.21163,1376
EIF3F,13.445373,12.352147,917
EIF3H,5.746039,9.203969,1376
EIF3J,10.487375,5.988904,1642
EIF3K,10.549279,-3.6174917,328
EIF3L,11.606832,13.33773,1694
EIF3M,12.8998165,9.05632,1358
EIF4A1,13.569385,9.423625,1695
EIF4A2,12.381194,-3.004045,485
EIF4B,11.607231,13.33812,1694
EIF4E2,6.027118,-7.539716,1410
EIF4E3,4.9008274,-3.58522,1696
EIF4EBP1,15.688103,-1.4613016,834
EIF4EBP2,15.443664,0.72025645,1529
EIF4EBP3,10.853036,2.1300597,1171
