Models,Expression.only.CV.cor,Multiomics.CV.cor
HAUS3,0.409346576,0.480973314
FLI1,0.528898159,0.480792052
ZFP36L1,0.478269105,0.480752065
BCL2,0.475816969,0.477924484
GTF2A1,0.413171357,0.477293827
PFAS,0.495304738,0.476454205
RAF1,0.309088432,0.476301311
POLR3D,0.456625173,0.476239423
MEF2B,0.587252341,0.47600077
IKZF1,0.509536906,0.475513183
E2F3,0.490579207,0.475038516
PPAT,0.43088407,0.473671086
NKAPD1,0.458000443,0.472043679
SLF1,0.480671511,0.470434844
MBNL1,0.474253398,0.470313593
CWF19L2,0.468477052,0.469595049
CDH2,0.479639564,0.469303797
MZT1,0.445179295,0.469266953
RFK,0.439936686,0.468868874
C3orf38,0.476221646,0.468423534
GART,0.482742296,0.468085992
EGLN1,0.498813167,0.467291469
RPP38,0.466612828,0.466534289
PIK3CD,0.479874925,0.466470736
NSRP1,0.492445192,0.465841088
MTHFD1,0.444851479,0.465812337
UMPS,0.459727162,0.464371669
CAP1,0.476448442,0.464242509
SRPRA,0.421875436,0.463726484
NFKB1,0.476481343,0.463466083
IPPK,0.494930193,0.463376484
UXS1,0.458948652,0.463128614
STK11,0.463293082,0.46260468
PPA2,0.431796582,0.462146803
NOL8,0.41860569,0.46176062
CHMP3,0.447790712,0.460585674
ACTR10,0.441944191,0.459788016
ACSL3,0.4625919,0.45976908
THAP1,0.439341275,0.459479234
CYB5B,0.506900692,0.459452068
TIMM17A,0.510723396,0.458864089
NUP58,0.43584681,0.45819951
RABIF,0.454575248,0.45775664
IRS1,0.486577521,0.457620195
PPA1,0.460063186,0.457425289
SCAP,0.479102827,0.456404822
DNAJC21,0.428938476,0.456121092
ERBB2,0.491324045,0.456112376
SPI1,0.420067227,0.455991054
ASCL1,0.454134568,0.455931949
IRF8,0.51693886,0.455866605
TRPM7,0.47658677,0.455711199
IRS2,0.474628428,0.45509074
PTP4A1,0.422546813,0.454886968
ERCC6L,0.443812153,0.454059107
MSI2,0.455873392,0.454017792
ILK,0.495964927,0.453983825
TFAP2B,0.458704098,0.453775322
TAF2,0.417427079,0.453610685
ERBB3,0.423200694,0.45350017
SLC25A28,0.474463041,0.453462181
CDK8,0.430178243,0.452692091
MED10,0.442328623,0.45233809
SNUPN,0.442754428,0.45199091
EXOC3,0.402488162,0.451765512
TAF10,0.401070676,0.450515123
SECISBP2,0.437634548,0.450265396
BCL6,0.459392294,0.45016406
EXOC5,0.371789073,0.4500309
ESR1,0.448088696,0.449658808
GOLT1B,0.437090458,0.449562098
TXNRD1,0.473460185,0.449402475
MED9,0.422495147,0.448770168
ARHGAP45,0.464019352,0.448444327
DHX29,0.416200528,0.448405548
FURIN,0.480143063,0.447945997
PPM1G,0.47353705,0.447767039
ENO1,0.458544416,0.447752048
RHOA,0.458458595,0.447715928
ATP5PB,0.470272754,0.447686917
PKMYT1,0.436952624,0.447594711
DOLPP1,0.427806439,0.447026892
ATM,0.495607936,0.447024647
SH3GL1,0.431516134,0.44671135
FNTA,0.44841366,0.446070667
PRPF4B,0.353311665,0.446019779
ZNF574,0.427878623,0.445893878
SDHA,0.429897607,0.445873276
EXOSC3,0.410036984,0.445865832
KDSR,0.439398305,0.445653582
CDC42,0.470585133,0.445549101
TBCE,0.382414832,0.445312412
TYMS,0.43692512,0.445066272
EFL1,0.397418386,0.444124248
MED21,0.444781254,0.444079163
UBA5,0.430516648,0.444064217
UAP1,0.413295905,0.444010887
ACTR3,0.440079211,0.443986136
PPCDC,0.463423872,0.443480542
SRFBP1,0.348959724,0.443401999
UBALD1,0.446517101,0.443005924
AFDN,0.429759673,0.442909925
AP1M1,0.449535134,0.442772095
EMC4,0.428957996,0.440774066
THOC5,0.409225589,0.440419937
ZNF622,0.416475192,0.440102054
AMD1,0.484069902,0.439904435
DDX19A,0.451683105,0.439100294
IRS4,0.448276263,0.438540258
ATIC,0.461813983,0.438289547
ATP6V0A2,0.408270415,0.438040796
C15orf41,0.39406602,0.437723358
DOCK5,0.407166987,0.437561509
FGFR1,0.453914479,0.437532546
STAT5B,0.467654401,0.43736351
AHCY,0.455991173,0.437290562
SCD,0.493469078,0.437280054
CRKL,0.448898822,0.437178092
CYB561A3,0.509244064,0.436839396
TEAD1,0.445703253,0.436538326
FAM210A,0.416197898,0.436378701
SPDEF,0.49455015,0.435774505
ACTB,0.428723183,0.43511292
CCDC6,0.461619953,0.435111154
ANKRD49,0.432594987,0.434958798
DDX21,0.391437496,0.434743992
NEDD9,0.435999843,0.434662479
IDH3A,0.310405981,0.434535593
EEFSEC,0.453076467,0.433523029
FPGS,0.412966135,0.433154587
PMM2,0.445491262,0.432975528
MED27,0.406813123,0.432664897
RTTN,0.406514048,0.432416059
SLC33A1,0.438385576,0.432030786
FGFR1OP,0.458994218,0.431945662
SEPHS2,0.434476997,0.430391248
AK2,0.413027422,0.430108299
PKN2,0.450715515,0.430013466
METAP1,0.411567295,0.429977044
CMIP,0.445776474,0.429934243
TMED10,0.45534437,0.429793086
SYVN1,0.415381845,0.429670265
WTAP,0.377611824,0.429513657
FUBP1,0.425553082,0.42911249
STAMBP,0.458735544,0.428779445
SUCO,0.435435146,0.428764713
