Models,Expression.only.CV.cor,Multiomics.CV.cor
TEDC2,0.257390377,0.3380277
DDX20,0.25092526,0.337516019
EIF2S2,0.312675843,0.337345637
DENND4A,0.387527088,0.337303117
TRAF2,0.30313534,0.337034207
MAFF,0.345691204,0.337032288
EXT1,0.351916669,0.33654323
TRAPPC13,0.325144323,0.336481182
RRAGA,0.303069104,0.336453122
GEMIN7,0.313325905,0.336381138
NABP2,0.243643672,0.335958788
CTSK,0.293376089,0.335928711
WDR92,0.328154127,0.335831995
PPP1R7,0.259324961,0.335704957
NCAPD3,0.34435822,0.335575551
FDX2,0.304455385,0.335483466
BCCIP,0.320360818,0.335165341
CENPE,0.317405129,0.334908899
NCAPH2,0.391802281,0.334840198
NCOA4,0.362292209,0.334807763
ATP5PD,0.326910857,0.334793714
PHOX2A,0.255403168,0.334563509
AATF,0.286220008,0.334487551
PSMB7,0.355442021,0.334416562
FNIP1,0.332317884,0.334269775
JTB,0.353298707,0.333782634
TRNAU1AP,0.33348783,0.333731576
FLVCR1,0.375133898,0.333414064
NUMA1,0.312897806,0.333374262
NCOA6,0.345709559,0.333331942
ESCO2,0.335908739,0.333278624
TBCA,0.270435981,0.333127357
TAF3,0.32652294,0.333001421
KBTBD2,0.324557665,0.332932596
FAM98B,0.359329629,0.33292787
KIDINS220,0.409078659,0.332548015
KMT2D,0.31576283,0.332510523
MIS12,0.293117815,0.332314217
STAG2,0.33607072,0.332173546
TRIM37,0.313205347,0.332121436
VPS16,0.313972702,0.3320525
TDP2,0.344924012,0.331937295
LIG4,0.256891065,0.331753516
LTV1,0.246419523,0.331742944
GAPVD1,0.353831221,0.331699927
CCNL1,0.263488974,0.33152809
PIK3CB,0.283758173,0.331426149
NPAS4,0.333562093,0.331419329
SLC35B2,0.355689849,0.331148233
RRP9,0.249875345,0.331138483
UQCRFS1,0.334288577,0.331007884
SLC5A3,0.399574916,0.330991301
PINX1,0.336488031,0.330700422
OXSM,0.396526294,0.330590153
ADAT3,0.32821911,0.3305732
RNF146,0.347293731,0.330369602
MED15,0.324364711,0.330192495
ATP5PO,0.363792436,0.330048728
ATP5PF,0.294476084,0.329979833
DNAJC11,0.315922812,0.329974608
PCM1,0.331338688,0.329883497
APEX2,0.286950382,0.329613021
GTF2H2,0.276814704,0.32956547
ODR4,0.362354632,0.32951688
AAMP,0.315684949,0.329270295
C2orf49,0.323692304,0.32925393
RBSN,0.322729806,0.329104798
DLG5,0.322142424,0.328878573
TBX10,0.271497318,0.328736954
BAG6,0.271108583,0.328618456
DIMT1,0.324074317,0.328384628
INS,0.355858086,0.328321174
CYC1,0.345342353,0.328289092
HSP90B1,0.348669257,0.328063198
GTF2F2,0.31660717,0.328004112
FAM126B,0.445223484,0.32794953
FAM83H,0.332379383,0.327400584
ABI1,0.350061981,0.32713333
WASHC3,0.316735435,0.326976922
LCN6,0.246582785,0.326818687
MVK,0.332274945,0.326688644
PSMC1,0.304374237,0.326676182
AUP1,0.309895663,0.326582564
EMC3,0.370054756,0.326573211
YME1L1,0.273035845,0.326476944
RBMX,0.333888556,0.326287145
PAPOLA,0.348944115,0.326225333
PCNT,0.280229489,0.326209114
EMC2,0.391741468,0.325981267
ATF7IP,0.330030051,0.325968829
CCDC36,0.263918175,0.325716406
DDX59,0.268309063,0.325660272
PAK2,0.364720701,0.325276443
FLII,0.33849138,0.325270307
TLK2,0.325699062,0.32524851
GDI2,0.346081469,0.325177653
SMARCAL1,0.304704612,0.325114574
MRPL38,0.301886527,0.324915763
SRP19,0.225218212,0.32468986
SDAD1,0.252176865,0.324581245
UBE2H,0.316262613,0.324546226
PSMC4,0.279467432,0.324406294
TSC1,0.328494204,0.324381453
HIKESHI,0.330713119,0.324348559
SKA3,0.328037245,0.324167954
DIDO1,0.325092631,0.324031914
KATNB1,0.335331783,0.323991722
NPC1,0.325681877,0.323878643
ZNF318,0.261140549,0.323727479
SRCAP,0.201874035,0.323527898
ORC2,0.333633797,0.323329306
WDR24,0.30754031,0.323328421
GEMIN4,0.269420269,0.323282898
G6PD,0.327878877,0.323278996
QRSL1,0.298615941,0.323217854
CENPH,0.23833883,0.323063974
ELOC,0.315112109,0.323047972
PDGFRA,0.359496801,0.322705717
REST,0.322777749,0.322695108
TBX2,0.284808756,0.322535045
H2AFZ,0.300067814,0.32227643
CPD,0.329821545,0.322270434
INTS8,0.342901061,0.32215673
EMC1,0.324450621,0.322154135
HAUS8,0.268104026,0.322077702
RBBP8,0.258773707,0.321953377
PEX26,0.321888657,0.321952114
CD151,0.32375262,0.321916561
OSTC,0.332154523,0.321777224
LIN54,0.279070943,0.321714045
SGF29,0.271685575,0.321603151
PTP4A2,0.318623712,0.321491912
MRPL34,0.276039895,0.321321043
DNAJA3,0.267178073,0.3212941
MRPS18B,0.280288976,0.32123424
CENPT,0.301035236,0.320980941
UQCRC2,0.358625841,0.320969952
PPCS,0.319282197,0.320530185
DUSP10,0.340335727,0.320416767
NUBP1,0.201785808,0.32028564
SEC61G,0.295137091,0.320056619
UQCRC1,0.270129418,0.319907309
BICDL2,0.324382731,0.319787387
CSTF2,0.352469909,0.319507627
UBE2N,0.347422508,0.319253199
EIF2B5,0.293451545,0.319227383
COMMD2,0.273811807,0.319162314
HIST1H3I,0.323329366,0.319155024
NBN,0.277944735,0.318897245
GAL,0.298033729,0.31887089
RCOR1,0.319598935,0.318547894
GTF2H2C,0.298698268,0.318529274
RPF1,0.342665943,0.318467169
FECH,0.324097311,0.31846206
NARS2,0.288339821,0.318414901
RFC4,0.316061483,0.318004189
MRPL44,0.296992621,0.317476124
MAEA,0.320214067,0.317312782
ZWILCH,0.269925081,0.317284096
USE1,0.325998435,0.3169995
ARPC3,0.305376805,0.316799477
ARGLU1,0.27378947,0.316571347
TTK,0.256845026,0.316542804
SETDB1,0.336497758,0.316526989
PEX19,0.346718268,0.315872714
RBFA,0.267840187,0.315783801
MRPL57,0.324500918,0.31546551
CLASRP,0.316416219,0.315462768
PXN,0.362885735,0.315289763
EXOC1,0.239216792,0.315182688
MINOS1,0.309252561,0.315136562
PREX1,0.202296213,0.315055124
SRRM2,0.317838192,0.314753578
ACD,0.286661307,0.31468073
SUPT20H,0.226556263,0.314578372
MRPL12,0.268182062,0.314553307
SAMM50,0.286916597,0.314351817
DYNC1LI2,0.381873419,0.31424649
CHD1,0.293985593,0.314070653
EZH2,0.318898471,0.314044803
EDF1,0.308296002,0.313948628
MRPS18C,0.261794613,0.3138788
MRPL18,0.346576821,0.313840779
AARS2,0.339649466,0.313657438
NDUFB5,0.311347159,0.313602462
CCNC,0.333829288,0.313520219
COMMD3,0.355067469,0.313376378
MRPL40,0.299249729,0.313320035
PIK3R1,0.293831527,0.312985062
MED25,0.324727328,0.312873397
RPL39,0.297004991,0.312776064
TAF1A,0.265921475,0.312617587
RAD1,0.270441988,0.312324964
MIOS,0.388358361,0.312279566
ABT1,0.358498502,0.312176188
NCAPG2,0.321408813,0.311916651
WDR83,0.375063214,0.311763382
BBS1,0.26591998,0.311671463
ADAT2,0.319434671,0.311621341
VPS18,0.289649867,0.311573597
BDP1,0.321812241,0.311377078
THAP11,0.355861824,0.311192689
RNF31,0.33404586,0.311180585
PDCD5,0.26297098,0.311117235
LAMTOR4,0.316510243,0.31094989
UPK1A,0.27678997,0.310658497
CDC25B,0.341555313,0.310499603
DYRK1A,0.319483209,0.310250051
PWP1,0.209809058,0.310120238
SRD5A3,0.345670543,0.309846348
INTS2,0.272674299,0.309687209
MRPS31,0.323013352,0.309388782
NDUFS5,0.329951232,0.30927236
NF2,0.359199511,0.309213088
MRPS6,0.366075848,0.309113866
NDUFS2,0.339715626,0.309022969
TNPO1,0.282231097,0.308838952
HSF1,0.30765273,0.308831824
MRPL32,0.343504428,0.308759731
BRD9,0.287459358,0.308256639
DND1,0.316886055,0.308084595
EIPR1,0.215462973,0.308034627
CHMP5,0.212805859,0.307931564
SAMD4B,0.310136973,0.307923822
FKBPL,0.326826944,0.307839951
SOD2,0.334774579,0.307798231
SMC5,0.238626746,0.30765628
C16orf72,0.339600695,0.307585997
SETD1B,0.310557446,0.306783992
RFC1,0.248237186,0.306714519
TSC2,0.305156316,0.306658304
TIAL1,0.286525599,0.306492248
SUB1,0.280874217,0.30626013
HARS2,0.283680023,0.305831553
MRPS5,0.321465447,0.305704784
CRLS1,0.291835372,0.305626999
SRF,0.336946583,0.305604337
DDRGK1,0.347774705,0.305431457
RMND5A,0.319712918,0.305241283
GNPNAT1,0.342198879,0.305176923
RGP1,0.259206749,0.30482926
NDUFS8,0.303736995,0.304798308
PPIL2,0.233932753,0.304346018
RARS2,0.317026876,0.303764969
SFSWAP,0.20120371,0.303568031
CENPI,0.313057094,0.303332553
MRPL4,0.309124528,0.30330085
MLST8,0.344564487,0.303073426
COP1,0.337106175,0.302551046
RPS19BP1,0.231278869,0.30214861
COX6B1,0.321867473,0.302140604
SMARCA5,0.277149883,0.30196235
NOC2L,0.270225731,0.301901198
NUDT8,0.206798446,0.301671849
ITGB3,0.343131138,0.301576076
MON2,0.329382263,0.30141587
MED19,0.335433733,0.301375491
TRMT10C,0.219462803,0.301260045
MED13L,0.340169507,0.301153273
PTPMT1,0.309798063,0.300795823
RPS6KA3,0.316342697,0.300740555
VPS36,0.379102869,0.300718279
CENPP,0.343969029,0.300455993
RTRAF,0.268193381,0.300441996
TSG101,0.283373177,0.300384374
PACS1,0.269229672,0.300368876
NDUFV2,0.277641779,0.30032663
NDUFA6,0.345255805,0.300095057
CCDC51,0.265576488,0.299970739
CEP55,0.31283641,0.299791868
RIC8A,0.307446198,0.299736856
ORC4,0.300304546,0.299633061
UTP14A,0.25807716,0.299534955
GNB2,0.284513635,0.299322108
MRPS7,0.295262055,0.299268137
NOP9,0.288184446,0.298937674
KDM8,0.315820006,0.298878251
NUPL2,0.307955336,0.298740367
RBM5,0.270438677,0.298529115
BRK1,0.315305683,0.29850298
ZBTB17,0.211451265,0.298463301
MTF1,0.298487209,0.298426809
TMED2,0.355350458,0.298426389
PAK4,0.219055986,0.298388147
ANAPC15,0.31874321,0.298278208
EARS2,0.334494188,0.298216017
CCNB1,0.253271417,0.298177989
DUSP22,0.27530963,0.298080858
RNF139,0.285003959,0.297825514
ATP5ME,0.349474959,0.297808073
MTSS1,0.304436914,0.297777286
ADRM1,0.293641101,0.297648646
FASN,0.20482928,0.297521987
ELOVL1,0.286872745,0.297513344
ZCCHC9,0.215942639,0.297087131
ENY2,0.302962722,0.296978178
CTU2,0.246628525,0.296510611
AGPAT1,0.273256785,0.296422224
PFDN4,0.278359802,0.29640568
NFKB2,0.275647364,0.296265034
UBE2Z,0.330798501,0.296211098
CKAP2L,0.289096341,0.2959507
HS2ST1,0.305647682,0.295868322
CAPRIN1,0.321590273,0.295706324
SURF6,0.324241932,0.295673897
NSMCE1,0.308700105,0.295666353
FAF2,0.357028329,0.295567857
RPL28,0.269870568,0.295544594
EXTL3,0.329195292,0.295524154
OS9,0.259623803,0.295517441
TCF12,0.315565211,0.294752579
IPO5,0.209429499,0.294721945
MCMBP,0.304222448,0.294191245
SYT12,0.208682553,0.294032182
TIPIN,0.26407059,0.294006512
SIPA1,0.327379025,0.293582383
CTAGE15,0.215635699,0.293385027
DPF2,0.324218568,0.293381992
UVRAG,0.27475871,0.293320008
STMN1,0.285136722,0.29324176
MRPL37,0.317062975,0.293121872
RBPJ,0.334184598,0.293090779
C12orf45,0.230571132,0.293076618
ATP5F1D,0.230025693,0.292811845
ARID2,0.279173182,0.292794292
MRPS28,0.265382387,0.292774595
GPR61,0.220721428,0.292693968
DAP3,0.279117396,0.292659726
SREK1,0.266954528,0.29224952
RPL22,0.321639836,0.29223447
SREBF1,0.375563758,0.292083254
QRICH1,0.312149089,0.292054621
CENPS,0.314623906,0.291828492
ZNRD1,0.342195056,0.291695858
SEC62,0.275057476,0.291654415
TAF1B,0.216045474,0.291507022
CEP295,0.308893887,0.291472344
NAA20,0.268706559,0.291231257
HUS1,0.262083771,0.291203298
MRPL15,0.268104081,0.291199655
SETD5,0.333630734,0.291069874
HSPA14,0.247083173,0.291036768
BRCA1,0.313079801,0.290890205
EIF5A,0.251793647,0.290707669
HAUS4,0.276729642,0.290675949
PPME1,0.288437265,0.290461526
GAB2,0.32378724,0.290451952
KAT14,0.303207096,0.290117151
MRPL28,0.280996674,0.290080934
WDR59,0.281785586,0.290036266
MCTS1,0.273047229,0.289972873
ZNHIT6,0.260284677,0.289879221
MRPL17,0.289025814,0.289874443
MPRIP,0.254627934,0.289708219
LRRC37A2,0.278177796,0.28942384
PNPT1,0.291575403,0.289338836
CEP152,0.303883609,0.289284592
MEF2D,0.298358935,0.289269074
CCDC12,0.294657085,0.289195276
VMA21,0.306570851,0.289061405
NFIB,0.265464699,0.28904068
CSNK1A1,0.274470512,0.28887993
ARF6,0.289866749,0.288855911
ARMC5,0.331475718,0.288771184
COG7,0.249988876,0.288766903
YIF1A,0.273563466,0.28876604
NDUFAF4,0.319559287,0.28870076
MRPL30,0.301595554,0.28849801
LATS2,0.288392782,0.288482281
CEBPA,0.275071344,0.288396015
CSNK2A1,0.276995888,0.288118983
TIMMDC1,0.291391309,0.288111745
TMEM242,0.312348566,0.288036377
PI4KB,0.285714441,0.287519732
UBQLN1,0.269930209,0.287386337
CAND1,0.321612767,0.28735984
GAR1,0.22569606,0.287312367
STRAP,0.248022676,0.287280589
UROS,0.29754532,0.287222618
CCDC115,0.285083697,0.287204687
POP4,0.334093422,0.287124099
DHX35,0.343783364,0.287076512
VPS45,0.321227552,0.286948428
KLF6,0.253273161,0.286909249
PTMA,0.306700257,0.286760179
RBM47,0.305766407,0.286714264
PQBP1,0.231896822,0.286706679
PDS5B,0.249125875,0.286670213
GTF3C4,0.317647456,0.286494688
CNPY2,0.283866921,0.286469506
CHKA,0.329048362,0.286393472
EIF4G2,0.240729996,0.285978026
GPATCH1,0.26386651,0.285936869
PEX12,0.298503259,0.285866247
ERCC4,0.326633033,0.285767354
SLC25A26,0.292571973,0.285538784
TIMM22,0.33200378,0.285137464
SARS2,0.282783107,0.284966659
CIART,0.215434724,0.284797396
STN1,0.271394635,0.284644416
UBR4,0.319476159,0.284460643
AKIRIN2,0.327223223,0.284223868
CIC,0.247438742,0.284131081
FAR1,0.300984154,0.283808171
BRD7,0.301475954,0.283766339
TNS3,0.327624504,0.283636734
CTNNA1,0.331623952,0.283609918
CALR,0.241574136,0.283608202
NSMCE2,0.27769163,0.283505965
SRPRB,0.235585545,0.283450029
ISG20L2,0.26490065,0.283280002
TRMT61A,0.299313036,0.283227565
COA5,0.268530422,0.283092288
AKT1,0.259055097,0.282860024
WDR25,0.252538636,0.282850487
ZCRB1,0.219251628,0.282816109
FUS,0.30011289,0.282531103
RICTOR,0.285031996,0.282478669
NDUFB7,0.300653654,0.282407429
RNASEH2C,0.276571875,0.282359897
WDR26,0.250206112,0.28190992
COPE,0.245483686,0.281625689
UTP18,0.275069875,0.281515992
TIMM29,0.304404196,0.281507505
HMGA2,0.265159973,0.281400226
TAF8,0.231956828,0.281296541
RAD51,0.357810322,0.280940472
SUPT4H1,0.270007878,0.280905928
PRR12,0.260864014,0.280538396
THAP3,0.29313474,0.280457663
PDS5A,0.327633749,0.280380556
ATG2A,0.201938218,0.280248153
YTHDF2,0.323639988,0.280237373
KMT2C,0.263728736,0.280213531
EIF1,0.233564107,0.280073209
CERS2,0.287684635,0.279868794
EPS15L1,0.275714924,0.279840971
AKT2,0.2678154,0.279806417
MRPS24,0.297926927,0.279792991
TMEM165,0.271845201,0.279746932
MAU2,0.26781268,0.279729992
WAC,0.203459552,0.279671935
ERP44,0.277930682,0.279662585
KIF18A,0.302861622,0.279652247
ATP5F1C,0.302046733,0.27956678
NDUFB8,0.336853201,0.279511883
IWS1,0.290793332,0.279475307
ZNF74,0.233267425,0.279144911
HSD17B4,0.259456949,0.279101983
CSDE1,0.25457502,0.278959128
NAV2,0.285418959,0.278875106
CITED2,0.336157738,0.278715565
CEBPB,0.298647281,0.278671301
EPC2,0.323603052,0.278572012
SSH2,0.260059157,0.278161336
PPP2R5C,0.284344987,0.278153515
MRPL13,0.328672913,0.278004439
ELP4,0.271194481,0.277874134
FXN,0.28392845,0.277750879
RNF4,0.303559582,0.277749509
RAPH1,0.274783314,0.277743942
SMARCE1,0.333537708,0.277584703
LIPT1,0.279424383,0.277253394
REXO2,0.244439375,0.277135936
CWC25,0.268163857,0.277059689
HERPUD1,0.334907153,0.277051738
MRPL33,0.29820088,0.276695353
TNFAIP3,0.293073629,0.27667627
GPS2,0.260130056,0.2766488
SUPT7L,0.265541935,0.276406995
RBM34,0.252818654,0.276306801
HGS,0.292347666,0.275983182
GJC1,0.235474621,0.275897168
DDX52,0.215251701,0.275774391
NGDN,0.239301393,0.275469691
SPINT2,0.268715049,0.275283977
SQSTM1,0.294313249,0.275235241
EXT2,0.335436665,0.275225464
RNF8,0.317592998,0.274846197
PRRC2C,0.206682278,0.274753272
ERAL1,0.263305913,0.274743996
MTFMT,0.289153963,0.274667966
WDR48,0.288444717,0.274667617
PTCD1,0.284747811,0.274636845
DNM1L,0.315658041,0.274493951
UTP11,0.251442917,0.27427335
VPS8,0.273584614,0.274128749
UNC50,0.220361123,0.273938773
TTC4,0.24207723,0.273777273
MFN2,0.256045921,0.273393051
FANCI,0.294610441,0.273311523
FOXF1,0.208984948,0.273273719
UQCR10,0.281867558,0.27316393
RAPGEF1,0.230161181,0.27308174
CREB1,0.331565999,0.273060376
APC,0.253396896,0.272998429
MRPS35,0.302061046,0.272802841
COX6C,0.284567314,0.272798111
MAD2L1BP,0.248897585,0.272774416
PSME3,0.294693527,0.272680096
KATNA1,0.301922878,0.272529941
GSE1,0.239035728,0.272526898
SLC35B1,0.235747168,0.272457174
FIG4,0.286557156,0.27243393
GNG5,0.245328562,0.272353226
ATP5MG,0.259469811,0.272345248
MIB1,0.273756003,0.27197658
IGHMBP2,0.230405941,0.271607471
MED18,0.242273531,0.271574907
GATAD1,0.237448271,0.271554256
SLC38A2,0.318089747,0.271484435
MPI,0.316414731,0.271074969
POLRMT,0.264044192,0.271027458
MRPL53,0.264673966,0.270973392
CCNK,0.24570375,0.270723894
PHACTR4,0.297906475,0.270701182
CENPA,0.28920204,0.270679261
PC,0.234168173,0.2706719
BCL10,0.231910348,0.270619558
COQ4,0.290842328,0.270432871
TEN1,0.278135175,0.270407152
EXO1,0.276498584,0.27014011
MRPL16,0.280813506,0.270024044
CIT,0.27163452,0.269898269
PIGW,0.290949581,0.269750081
HIST1H2BN,0.225205871,0.269747037
PTBP1,0.222292183,0.269528251
MRM3,0.297287288,0.269524273
GTF3C6,0.278396067,0.269519532
CHORDC1,0.256811374,0.269435142
TRIR,0.24480384,0.269087523
RPN2,0.290330407,0.268898369
PKD1,0.260012711,0.268875228
UFC1,0.298096265,0.268868413
COL4A3BP,0.299085262,0.268867677
HJV,0.251833589,0.268799586
EIF3J,0.238742695,0.268661219
NDUFB11,0.340869119,0.268600774
CDCA3,0.228368109,0.268377888
TRIT1,0.253325899,0.268141334
TNFRSF12A,0.239645659,0.268060446
NSUN5,0.25388851,0.267848134
CHD8,0.298576882,0.267793427
ZC3H7A,0.324613634,0.267530014
PITRM1,0.270167322,0.267398633
NRBP1,0.275201862,0.267331638
MRPS12,0.281152767,0.267248341
BCL2L2,0.307459977,0.26724791
WASHC5,0.23547982,0.267050527
BRIP1,0.310574491,0.267039678
DBF4,0.258143717,0.26699792
ZNF511,0.287905204,0.266956067
ASH1L,0.320443053,0.266952241
MRPL39,0.255390019,0.266705564
USP14,0.276019696,0.266696771
SEC16A,0.29267234,0.266540033
BRCA2,0.286696841,0.266476565
UBE2C,0.305111635,0.266160552
SURF4,0.313661998,0.266117314
CTNNBL1,0.223598076,0.265964725
POT1,0.279132148,0.265885463
FANCG,0.279635146,0.265756597
COX6A1,0.280707598,0.265754642
CENPU,0.330276321,0.265743505
HIST1H3B,0.257754221,0.265703121
GATB,0.228908571,0.265658639
GFER,0.240044355,0.26534435
GABARAP,0.263978363,0.265191594
DAXX,0.307447158,0.265053503
NELFA,0.25602604,0.264950369
NDUFAF5,0.230833884,0.264949716
SEC61B,0.211538135,0.264850538
INPP5K,0.258094775,0.264794167
UBE2O,0.212112243,0.264783239
CKS1B,0.295517536,0.264696604
PRPF39,0.266686089,0.264675889
KCMF1,0.275692655,0.264623617
MNT,0.27969531,0.264253955
PAQR4,0.26534911,0.263971723
UBALD2,0.329333844,0.263787554
PBRM1,0.308841482,0.263512513
BCL11B,0.373068726,0.263413186
MKLN1,0.252369813,0.263272107
ING3,0.288977328,0.263078863
COX10,0.256039377,0.263052168
ATP6V1H,0.320322633,0.262989899
TPK1,0.338243924,0.262708704
PICALM,0.289815959,0.262620882
MRPS27,0.220883217,0.262507736
LYL1,0.238954423,0.262444299
UGCG,0.296451748,0.262200565
ZFP36L2,0.262256126,0.262069025
NDUFB4,0.314787609,0.261899904
FIP1L1,0.318857924,0.261870882
GPX8,0.291620185,0.261799514
NCLN,0.227846428,0.261771077
SLC25A19,0.348269951,0.261657547
TP53RK,0.225637066,0.261632342
WASL,0.306022485,0.261619896
RNASEH2A,0.283025639,0.261497009
SGO1,0.225218922,0.26131381
ZNF559,0.290882666,0.261191866
PDCL3,0.280548336,0.261044707
SRC,0.245634623,0.260942496
BLM,0.2705293,0.260870784
DNAJC13,0.266821994,0.260740398
METTL1,0.31382831,0.260706879
ZWINT,0.226277988,0.260362964
CD79B,0.263506953,0.260349185
TTF2,0.315493028,0.260191941
CNOT11,0.210439811,0.260106321
MYEOV,0.246224083,0.259677579
KAT6A,0.260259704,0.259642342
C8orf59,0.250393714,0.259347162
LRP8,0.25928401,0.259197691
FAM129B,0.278827122,0.259132441
FARS2,0.317858368,0.259035526
RAD51B,0.228308165,0.258940218
PDE12,0.203626196,0.258871088
WSB2,0.27964466,0.258851335
MTERF3,0.280307979,0.258731402
TFAP4,0.257134538,0.258719358
CNOT1,0.246546216,0.258447861
ATP6V0D1,0.273723077,0.258242419
SMC6,0.252363183,0.258015909
UBE3A,0.274731902,0.257973571
VPS39,0.270752237,0.257752198
SUCLG1,0.280623716,0.257723612
TUBE1,0.265920304,0.257655518
BTF3,0.244776852,0.257392015
NDUFA10,0.224749079,0.257275124
TSR3,0.299161436,0.257253025
CARNS1,0.302872472,0.257195884
ROCK1,0.264692512,0.257163877
DLD,0.336421036,0.256904945
COPS7A,0.239287209,0.256615484
MEN1,0.269818783,0.256219274
PEX6,0.291911172,0.25599907
VDAC1,0.261408944,0.255938664
KMT2A,0.265191834,0.255882864
SUPT3H,0.240100159,0.255699785
CASC3,0.2505094,0.25563549
TESMIN,0.243896436,0.255615907
SCNM1,0.231187802,0.25554361
PPP1CB,0.233139961,0.255400104
TTC37,0.240860491,0.255214566
GNB1,0.278906082,0.25505735
CLPB,0.232229597,0.255001926
C1orf131,0.216427128,0.254770314
TAF4,0.24955151,0.254705521
VMP1,0.23191135,0.254475331
ATRX,0.309383147,0.254423207
SMG7,0.285838479,0.254225699
PDCD6IP,0.211783923,0.254148617
FAM104B,0.233600261,0.254103761
MPHOSPH8,0.252485022,0.254098236
RHOC,0.261730052,0.25378174
ZNF789,0.250771573,0.253674982
HECTD1,0.291681767,0.253647436
SLC3A2,0.265573909,0.253547113
PRKRIP1,0.212476549,0.253528816
FAM208B,0.254861268,0.253526079
TMEM147,0.247470172,0.253206667
COG8,0.266365068,0.25311879
UQCRB,0.305810629,0.252948669
TRAF7,0.228096603,0.252914226
RBM38,0.28169322,0.252845313
VPS33A,0.295634674,0.252654749
LAMTOR1,0.233496056,0.252384446
ZBTB7B,0.267798297,0.252139888
OGA,0.216869522,0.252006597
SPRTN,0.258223762,0.251916059
TRIM33,0.247857542,0.251570622
METTL17,0.305880889,0.251559886
SNRNP40,0.230528531,0.251531074
SATB2,0.23579471,0.251382505
NDUFAB1,0.277277057,0.251092149
MTMR9,0.246688542,0.250430985
CXorf56,0.245909327,0.250388064
RBX1,0.280082869,0.250160171
HAPLN2,0.248889744,0.249586403
MAPK14,0.275398641,0.249553807
C17orf58,0.307237835,0.249057672
HTT,0.26861937,0.248931776
MED13,0.242352135,0.248904562
MDC1,0.258541779,0.248737678
GFM1,0.303995223,0.248656477
DDX27,0.231732787,0.248644903
PPM1J,0.283621701,0.248511804
RABGEF1,0.317805767,0.24830855
ECSIT,0.274872759,0.248232129
AXIN1,0.249193236,0.248208131
FLCN,0.254996939,0.248195879
DDX46,0.238819858,0.248023723
FANCM,0.233219064,0.248023261
LARS2,0.299308241,0.247969829
RAD50,0.285841999,0.247964215
NAA25,0.232033507,0.2479335
HIST1H2AJ,0.256899329,0.247888461
ZNF593,0.254325242,0.247859001
LASP1,0.22968107,0.247746433
POLD4,0.214569129,0.24770641
MYO1H,0.207077612,0.247563912
RANBP3,0.215029835,0.247101334
LPAR1,0.243990535,0.246900305
CNOT7,0.259042458,0.246766678
MIPEP,0.246186029,0.246717017
GSTP1,0.244968677,0.246701762
GANAB,0.274432246,0.246648357
RNF168,0.273454091,0.24655403
TOP1,0.256999903,0.246106016
PEX13,0.248971215,0.245992798
STX18,0.22678768,0.245961346
MYBPC3,0.206311813,0.245737114
WDR33,0.24780495,0.245690231
COX7B,0.260847339,0.245554823
ZFAT,0.29441775,0.245172494
SLC30A9,0.283740319,0.245158219
PPP1CC,0.267650959,0.245132077
CBWD5,0.291518117,0.244826979
TRIP13,0.249541621,0.244615161
TXNDC17,0.263595084,0.244062299
NDUFB6,0.264379152,0.244030071
RMND1,0.250792656,0.24350686
PTPN1,0.292651174,0.24350163
VPS52,0.244804526,0.243318152
MTG2,0.259312489,0.243243776
SOCS3,0.252698823,0.243219749
PPP6R3,0.225345348,0.243105838
ELAVL1,0.210653936,0.242848801
MRPL48,0.263961618,0.242450871
NME6,0.257019933,0.242141097
CALM2,0.234760759,0.241980375
CNEP1R1,0.244330118,0.241808721
DSCC1,0.271234487,0.2417892
MRPL9,0.29019872,0.241131086
MLLT1,0.262706604,0.241071227
NDUFA8,0.320571905,0.241003004
SBNO2,0.269819295,0.240956136
ZNHIT1,0.232263559,0.240929106
XRCC4,0.222194215,0.240910996
PDGFRB,0.243372284,0.240419998
COG4,0.219656388,0.240192544
RNF25,0.268135382,0.240114852
LPA,0.234334971,0.239990119
POLE4,0.213835048,0.239929957
SLC19A1,0.303183725,0.239915587
GSTM4,0.224150223,0.239734434
CENPF,0.248287579,0.239656116
PARN,0.218185978,0.239650375
BCS1L,0.320350687,0.239590947
AK6,0.254689489,0.239547141
ATP5F1E,0.205238667,0.239474855
ATG4B,0.220720927,0.239384501
INTS10,0.243866696,0.239339757
COX14,0.233480516,0.239301671
RER1,0.239709779,0.239185781
RPAP3,0.200054039,0.239096516
MAD2L1,0.259657552,0.239093678
NAA40,0.223616627,0.239039532
RAB7A,0.222365576,0.238642356
ZNF687,0.246592632,0.238581284
MRPL55,0.245416861,0.2380865
NAA35,0.260438058,0.238058998
SIN3A,0.250718275,0.237991048
METTL23,0.272552402,0.237856749
BECN1,0.259237772,0.237732444
RTEL1,0.240418898,0.237499303
FAM122A,0.209712042,0.237491326
PRAMEF20,0.266314112,0.237315618
DPH6,0.294371299,0.237211573
MAN1A2,0.268854503,0.237165213
VPS54,0.250568519,0.237117541
TMEM88B,0.209180053,0.237116284
SCAF8,0.219984812,0.236857037
TUBB2A,0.242610385,0.236832593
DHX9,0.251373584,0.236760836
DR1,0.274729211,0.236713742
RANBP9,0.225356643,0.236569596
RAB21,0.286489111,0.236079309
TM9SF3,0.264800237,0.236017816
USP9X,0.290514895,0.236014878
DMAC1,0.243077603,0.235995553
TPRKB,0.265108978,0.235949333
SDC1,0.227810345,0.235931325
KCNK5,0.245984102,0.235881206
SAR1A,0.267388399,0.235718327
