epoch,lr,train_loss,train_mse,train_pearson_batch,val_loss,val_mse,val_pearson_batch,mae_chronos,rmse_chronos,pearson_full,pearson_per_cl_mean,pearson_per_cl_sd,time_sec
46,9.804200e-04,0.647064,1.114578,0.5007,0.662271,1.081031,0.4783,0.2139,0.3106,0.5830,0.5840,0.0457,95.13
47,9.219815e-04,0.645230,1.111781,0.5022,0.662771,1.083246,0.4783,0.2132,0.3099,0.5843,0.5853,0.0455,95.40
48,8.645578e-04,0.643659,1.109236,0.5034,0.660967,1.087412,0.4797,0.2161,0.3146,0.5843,0.5854,0.0455,95.07
49,8.083948e-04,0.642282,1.107205,0.5045,0.673512,1.109127,0.4706,0.2182,0.3186,0.5696,0.5706,0.0450,95.60
50,7.532979e-04,0.641032,1.105090,0.5055,0.664047,1.088073,0.4779,0.2145,0.3128,0.5809,0.5818,0.0456,95.32
51,6.995120e-04,0.639271,1.102432,0.5069,0.665971,1.094639,0.4764,0.2154,0.3139,0.5782,0.5794,0.0453,95.20
52,6.472655e-04,0.637681,1.099945,0.5081,0.664674,1.095407,0.4778,0.2147,0.3133,0.5795,0.5804,0.0454,96.30
53,5.963778e-04,0.636478,1.098126,0.5091,0.670338,1.102727,0.4733,0.2159,0.3154,0.5718,0.5727,0.0454,95.28
54,5.470763e-04,0.635296,1.096197,0.5100,0.663413,1.087004,0.4782,0.2144,0.3125,0.5813,0.5823,0.0459,96.23
55,4.995690e-04,0.633934,1.093826,0.5110,0.669842,1.100689,0.4740,0.2150,0.3144,0.5729,0.5738,0.0455,96.05
56,4.536916e-04,0.632233,1.091077,0.5123,0.662467,1.085265,0.4794,0.2138,0.3119,0.5823,0.5834,0.0459,95.29
57,4.096507e-04,0.631420,1.090041,0.5130,0.658251,1.079922,0.4817,0.2139,0.3112,0.5871,0.5880,0.0465,95.53
58,3.676304e-04,0.630492,1.088383,0.5137,0.664945,1.093949,0.4779,0.2145,0.3136,0.5783,0.5793,0.0457,95.13
59,3.274856e-04,0.629537,1.086953,0.5145,0.664648,1.094060,0.4778,0.2148,0.3137,0.5789,0.5798,0.0457,95.45
60,2.893986e-04,0.628550,1.085182,0.5152,0.662424,1.094766,0.4795,0.2160,0.3158,0.5804,0.5814,0.0461,95.18
61,2.534816e-04,0.627811,1.084270,0.5158,0.664453,1.096457,0.4783,0.2150,0.3144,0.5786,0.5794,0.0458,101.11
62,2.197467e-04,0.626635,1.082073,0.5167,0.665619,1.097458,0.4776,0.2144,0.3135,0.5781,0.5790,0.0455,95.55
63,1.882133e-04,0.625822,1.080934,0.5174,0.663936,1.093281,0.4788,0.2138,0.3125,0.5800,0.5809,0.0463,94.88
64,1.590185e-04,0.625533,1.080382,0.5176,0.663581,1.095428,0.4789,0.2150,0.3143,0.5799,0.5808,0.0458,96.15
65,1.321377e-04,0.624540,1.078741,0.5183,0.663323,1.095134,0.4789,0.2153,0.3146,0.5803,0.5811,0.0460,95.93
66,1.076574e-04,0.623923,1.077743,0.5188,0.664413,1.097520,0.4783,0.2154,0.3152,0.5783,0.5792,0.0460,95.05
67,8.567476e-05,0.623705,1.077595,0.5191,0.664740,1.097997,0.4781,0.2149,0.3143,0.5783,0.5792,0.0459,95.91
